etf,top_n,when,date,rank,ticker,share_of_each_1000
QQQ,50,last purchase,2025-12-31,4,AMZN,56.853918339024645
QQQ,50,last purchase,2025-12-31,5,TSLA,45.97732426516275
QQQ,50,last purchase,2025-12-31,6,META,44.73181493068682
QQQ,50,last purchase,2025-12-31,7,GOOGL,41.76286885540725
QQQ,50,last purchase,2025-12-31,8,GOOG,38.89921261074239
QQQ,50,last purchase,2025-12-31,9,AVGO,37.78651276002258
QQQ,50,last purchase,2025-12-31,10,PLTR,26.08356629232392
QQQ,50,last purchase,2025-12-31,11,NFLX,25.090799583149273
QQQ,50,last purchase,2025-12-31,12,COST,24.223337423164285
QQQ,50,last purchase,2025-12-31,13,AMD,22.13618562564162
QQQ,50,last purchase,2025-12-31,14,MU,20.793035051357055
QQQ,50,last purchase,2025-12-31,15,CSCO,19.31198540041691
QQQ,50,last purchase,2025-12-31,16,TMUS,14.393142692111976
QQQ,50,last purchase,2025-12-31,17,LRCX,13.782026257445281
QQQ,50,last purchase,2025-12-31,18,APP,13.47336212173798
QQQ,50,last purchase,2025-12-31,19,AMAT,13.07671100865941
QQQ,50,last purchase,2025-12-31,20,ISRG,12.817327123272907
QQQ,50,last purchase,2025-12-31,21,SHOP,12.640154890332562
QQQ,50,last purchase,2025-12-31,22,LIN,12.629618481350427
QQQ,50,last purchase,2025-12-31,23,PEP,12.446112119585333
QQQ,50,last purchase,2025-12-31,24,INTU,11.770219413651276
QQQ,50,last purchase,2025-12-31,25,QCOM,11.742905928149579
QQQ,50,last purchase,2025-12-31,26,INTC,11.234133223136261
QQQ,50,last purchase,2025-12-31,27,AMGN,11.175547414640294
QQQ,50,last purchase,2025-12-31,28,BKNG,11.046160842639637
QQQ,50,last purchase,2025-12-31,29,KLAC,10.317456786695518
QQQ,50,last purchase,2025-12-31,30,TXN,10.064138392935167
QQQ,50,last purchase,2025-12-31,31,GILD,9.64968382362929
QQQ,50,last purchase,2025-12-31,32,ADBE,9.317125549956817
QQQ,50,last purchase,2025-12-31,33,ADI,8.496712251244192
QQQ,50,last purchase,2025-12-31,34,PANW,8.223124428384445
QQQ,50,last purchase,2025-12-31,35,HON,7.8715514215436775
QQQ,50,last purchase,2025-12-31,36,CRWD,7.536695671945343
QQQ,50,last purchase,2025-12-31,37,VRTX,7.2689057271928315
QQQ,50,last purchase,2025-12-31,38,CEG,7.041776496751018
QQQ,50,last purchase,2025-12-31,39,CMCSA,6.877611390611884
QQQ,50,last purchase,2025-12-31,40,ADP,6.627687691295186
QQQ,50,last purchase,2025-12-31,41,MELI,6.469081569959895
QQQ,50,last purchase,2025-12-31,42,SBUX,6.1207508242522515
QQQ,50,last purchase,2025-12-31,43,ASML,5.939038543858947
QQQ,50,last purchase,2025-12-31,44,DASH,5.8530410473667756
QQQ,50,last purchase,2025-12-31,45,SNPS,5.564936489054038
QQQ,50,last purchase,2025-12-31,46,CDNS,5.424284518162325
QQQ,50,last purchase,2025-12-31,47,MAR,5.319386759864034
QQQ,50,last purchase,2025-12-31,48,REGN,5.047191444108417
QQQ,50,last purchase,2025-12-31,49,ORLY,4.875131342130686
QQQ,50,last purchase,2025-12-31,50,CTAS,4.8299955743772305
QQQ,75,last purchase,2025-12-31,1,NVDA,95.26840930966131
QQQ,75,last purchase,2025-12-31,2,AAPL,84.35409777309245
QQQ,75,last purchase,2025-12-31,3,MSFT,75.74144691391056
QQQ,75,last purchase,2025-12-31,4,AMZN,51.96539738056215
QQQ,75,last purchase,2025-12-31,5,TSLA,42.02401515559523
QQQ,75,last purchase,2025-12-31,6,META,40.88559955649279
QQQ,75,last purchase,2025-12-31,7,GOOGL,38.171935008635884
QQQ,75,last purchase,2025-12-31,8,GOOG,35.55450706236901
QQQ,75,last purchase,2025-12-31,9,AVGO,34.537481471218896
QQQ,75,last purchase,2025-12-31,10,PLTR,23.84079984426456
QQQ,75,last purchase,2025-12-31,11,NFLX,22.933395076824944
QQQ,75,last purchase,2025-12-31,12,COST,22.14052068622592
QQQ,75,last purchase,2025-12-31,13,AMD,20.232830315527707
QQQ,75,last purchase,2025-12-31,14,MU,19.005169050064524
QQQ,75,last purchase,2025-12-31,15,CSCO,17.65146580673644
QQQ,75,last purchase,2025-12-31,16,TMUS,13.155564319958959
QQQ,75,last purchase,2025-12-31,17,LRCX,12.596994052490707
QQQ,75,last purchase,2025-12-31,18,APP,12.314870059320866
QQQ,75,last purchase,2025-12-31,19,AMAT,11.95232455120552
QQQ,75,last purchase,2025-12-31,20,ISRG,11.715243500822192
QQQ,75,last purchase,2025-12-31,21,SHOP,11.55330522535197
QQQ,75,last purchase,2025-12-31,22,LIN,11.543674777781833
QQQ,75,last purchase,2025-12-31,23,PEP,11.375947006511604
QQQ,75,last purchase,2025-12-31,24,INTU,10.75817018344296
QQQ,75,last purchase,2025-12-31,25,QCOM,10.733205217625121
QQQ,75,last purchase,2025-12-31,26,INTC,10.268178768001277
QQQ,75,last purchase,2025-12-31,27,AMGN,10.214630395113408
QQQ,75,last purchase,2025-12-31,28,BKNG,10.096368983654848
QQQ,75,last purchase,2025-12-31,29,KLAC,9.430321735791349
QQQ,75,last purchase,2025-12-31,30,TXN,9.198784642480286
QQQ,75,last purchase,2025-12-31,31,GILD,8.819966488527538
QQQ,75,last purchase,2025-12-31,32,ADBE,8.516002868280069
QQQ,75,last purchase,2025-12-31,33,ADI,7.76613189492561
QQQ,75,last purchase,2025-12-31,34,PANW,7.516068216840805
QQQ,75,last purchase,2025-12-31,35,HON,7.194724824116029
QQQ,75,last purchase,2025-12-31,36,CRWD,6.8886612738558615
QQQ,75,last purchase,2025-12-31,37,VRTX,6.6438969497752955
QQQ,75,last purchase,2025-12-31,38,CEG,6.436297173691813
QQQ,75,last purchase,2025-12-31,39,CMCSA,6.286247621686061
QQQ,75,last purchase,2025-12-31,40,ADP,6.057813333791119
QQQ,75,last purchase,2025-12-31,41,MELI,5.912844783461304
QQQ,75,last purchase,2025-12-31,42,SBUX,5.594464869650849
QQQ,75,last purchase,2025-12-31,43,ASML,5.428376917660307
QQQ,75,last purchase,2025-12-31,44,DASH,5.349773820292403
QQQ,75,last purchase,2025-12-31,45,SNPS,5.086441612112895
QQQ,75,last purchase,2025-12-31,46,CDNS,4.957883444562108
QQQ,75,last purchase,2025-12-31,47,MAR,4.862005203386262
QQQ,75,last purchase,2025-12-31,48,REGN,4.613214299230423
QQQ,75,last purchase,2025-12-31,49,ORLY,4.455948593825636
QQQ,75,last purchase,2025-12-31,50,CTAS,4.414693774880727
QQQ,75,last purchase,2025-12-31,51,PDD,4.387841649305796
QQQ,75,last purchase,2025-12-31,52,MNST,4.364826923505045
QQQ,75,last purchase,2025-12-31,53,MRVL,4.316615178856559
QQQ,75,last purchase,2025-12-31,54,WBD,4.138677264593424
QQQ,75,last purchase,2025-12-31,55,MDLZ,4.081664033682048
QQQ,75,last purchase,2025-12-31,56,CSX,3.913971235204435
QQQ,75,last purchase,2025-12-31,57,ADSK,3.6648823536295025
QQQ,75,last purchase,2025-12-31,58,AEP,3.575242268774325
QQQ,75,last purchase,2025-12-31,59,WDC,3.473988043622244
QQQ,75,last purchase,2025-12-31,60,STX,3.451915114217295
QQQ,75,last purchase,2025-12-31,61,FTNT,3.446689524637385
QQQ,75,last purchase,2025-12-31,62,TRI,3.409858272508488
QQQ,75,last purchase,2025-12-31,63,ROST,3.4057031977435193
QQQ,75,last purchase,2025-12-31,64,PCAR,3.3632689589946754
QQQ,75,last purchase,2025-12-31,65,ABNB,3.3604019288545746
QQQ,75,last purchase,2025-12-31,66,NXPI,3.1951487588254692
QQQ,75,last purchase,2025-12-31,67,PYPL,3.191299919314045
QQQ,75,last purchase,2025-12-31,68,IDXX,3.1443941952559946
QQQ,75,last purchase,2025-12-31,69,AZN,3.1164550898338237
QQQ,75,last purchase,2025-12-31,70,ALNY,3.028890167954286
QQQ,75,last purchase,2025-12-31,71,EA,2.9488939424880214
QQQ,75,last purchase,2025-12-31,72,ROP,2.79588963038851
QQQ,75,last purchase,2025-12-31,73,TTWO,2.750365060893279
QQQ,75,last purchase,2025-12-31,74,FER,2.749141763591506
QQQ,75,last purchase,2025-12-31,75,FAST,2.707863728037533
VGT,5,first purchase,2020-01-02,1,AAPL,401.43194201985443
VGT,5,first purchase,2020-01-02,2,MSFT,345.9714123931724
VGT,5,first purchase,2020-01-02,3,V,90.8674910200249
VGT,5,first purchase,2020-01-02,4,MA,81.53283599076153
VGT,5,first purchase,2020-01-02,5,INTC,80.1963185761869
VGT,10,first purchase,2020-01-02,1,AAPL,325.50889131224335
VGT,10,first purchase,2020-01-02,2,MSFT,280.53764308636545
VGT,10,first purchase,2020-01-02,3,V,73.6816709438399
VGT,10,first purchase,2020-01-02,4,MA,66.11248451071971
VGT,10,first purchase,2020-01-02,5,INTC,65.02874339224095
VGT,10,first purchase,2020-01-02,6,CSCO,50.34829620601146
